iter	Passed	Remaining
1373	77534	486761
1374	77587	486683
1375	77640	486607
1376	77738	486809
1377	77788	486715
1378	77840	486629
1379	77893	486553
1380	77945	486467
1381	77996	486376
1382	78049	486300
1383	78102	486220
1384	78155	486143
1385	78206	486053
1386	78258	485971
1387	78310	485886
1388	78365	485819
1389	78417	485739
1390	78470	485657
1391	78521	485569
1392	78577	485509
1393	78656	485593
1394	78711	485528
1395	78776	485527
1396	78839	485511
1397	78899	485473
1398	78950	485387
1399	79003	485306
1400	79058	485241
1401	79109	485153
1402	79161	485069
1403	79219	485022
1404	79290	485054
1405	79357	485061
1406	79410	484988
1407	79463	484906
1408	79514	484819
1409	79568	484745
1410	79621	484669
1411	79674	484589
1412	79728	484520
1413	79781	484444
1414	79833	484361
1415	79885	484276
1416	79938	484201
1417	79989	484110
1418	80040	484024
1419	80120	484106
1420	80172	484023
1421	80222	483930
1422	80273	483840
1423	80323	483744
1424	80378	483678
1425	80428	483586
1426	80481	483508
1427	80533	483429
1428	80587	483356
1429	80638	483268
1430	80688	483172
1431	80739	483083
1432	80793	483010
1433	80847	482939
1434	80897	482848
1435	80950	482771
1436	81014	482763
1437	81066	482675
1438	81116	482583
1439	81166	482491
1440	81219	482415
1441	81271	482334
1442	81320	482228
1443	81372	482151
1444	81427	482084
1445	81505	482153
1446	81555	482062
1447	81610	481995
1448	81663	481924
1449	81716	481843
1450	81767	481755
1451	81818	481671
1452	81873	481607
1453	81926	481529
1454	81977	481440
1455	82029	481360
1456	82082	481284
1457	82134	481199
1458	82184	481107
1459	82240	481052
1460	82296	480992
1461	82350	480921
1462	82403	480849
1463	82457	480774
1464	82511	480705
1465	82562	480621
1466	82614	480537
1467	82665	480452
1468	82720	480387
1469	82771	480300
1470	82825	480230
1471	82901	480290
1472	82953	480208
1473	83005	480125
1474	83057	480047
1475	83110	479970
1476	83163	479892
1477	83214	479805
1478	83264	479712
1479	83314	479623
1480	83368	479553
1481	83421	479477
1482	83472	479391
1483	83523	479303
1484	83578	479240
1485	83630	479161
1486	83681	479073
1487	83732	478983
1488	83785	478910
1489	83837	478832
1490	83890	478755
1491	83943	478679
1492	83997	478611
1493	84046	478513
1494	84099	478441
1495	84150	478355
1496	84204	478283
1497	84280	478340
1498	84328	478238
1499	84382	478168
1500	84434	478089
1501	84488	478017
1502	84539	477934
1503	84592	477855
1504	84644	477777
1505	84696	477698
1506	84750	477627
1507	84802	477549
1508	84855	477471
1509	84906	477389
1510	84956	477297
1511	85009	477221
1512	85064	477161
1513	85122	477112
1514	85172	477021
1515	85225	476945
1516	85277	476866
1517	85332	476802
1518	85382	476715
1519	85435	476637
1520	85491	476581
1521	85542	476499
1522	85596	476429
1523	85687	476565
1524	85738	476480
1525	85791	476407
1526	85842	476321
1527	85895	476247
1528	85949	476180
1529	85999	476088
1530	86052	476012
1531	86103	475928
1532	86155	475850
1533	86208	475774
1534	86259	475693
1535	86314	475626
1536	86368	475562
1537	86420	475479
1538	86471	475394
1539	86521	475307
1540	86573	475229
1541	86670	475393
1542	86728	475348
1543	86785	475298
1544	86839	475228
1545	86892	475156
1546	86949	475104
1547	87010	475075
1548	87065	475009
1549	87142	475067
1550	87197	475006
1551	87249	474927
1552	87301	474847
1553	87352	474762
1554	87403	474678
1555	87456	474603
1556	87507	474517
1557	87560	474445
1558	87614	474375
1559	87669	474312
1560	87722	474240
1561	87776	474175
1562	87830	474105
1563	87882	474028
1564	87932	473937
1565	87983	473853
1566	88035	473773
1567	88090	473712
1568	88142	473635
1569	88195	473560
1570	88249	473490
1571	88304	473429
1572	88356	473352
1573	88410	473284
1574	88503	473421
1575	88581	473484
1576	88634	473409
1577	88685	473326
1578	88738	473251
1579	88791	473179
1580	88843	473101
1581	88895	473022
1582	88954	472981
1583	89009	472916
1584	89060	472837
1585	89111	472753
1586	89162	472666
1587	89217	472604
1588	89267	472516
1589	89319	472436
1590	89369	472348
1591	89424	472284
1592	89474	472198
1593	89526	472118
1594	89579	472047
1595	89633	471980
1596	89683	471891
1597	89736	471816
1598	89788	471742
1599	89849	471707
1600	89913	471696
1601	90000	471800
1602	90079	471865
1603	90139	471827
1604	90197	471781
1605	90261	471763
1606	90323	471738
1607	90379	471683
1608	90437	471635
1609	90495	471587
1610	90551	471530
1611	90608	471480
1612	90664	471421
1613	90723	471378
1614	90775	471300
1615	90833	471254
1616	90891	471205
1617	90951	471169
1618	91010	471128
1619	91066	471074
1620	91122	471016
1621	91186	470998
1622	91249	470976
1623	91308	470937
1624	91375	470936
1625	91435	470899
1626	91496	470868
1627	91578	470944
1628	91638	470908
1629	91699	470874
1630	91758	470829
1631	91817	470791
1632	91878	470756
1633	91935	470706
1634	91996	470672
1635	92057	470639
1636	92120	470618
1637	92179	470576
1638	92238	470533
1639	92296	470488
1640	92355	470447
1641	92415	470408
1642	92473	470357
1643	92534	470325
1644	92597	470302
1645	92656	470263
1646	92717	470229
1647	92773	470172
1648	92838	470162
1649	92898	470120
1650	92955	470069
1651	93014	470028
1652	93074	469988
1653	93135	469958
1654	93221	470052
1655	93284	470027
1656	93345	469992
1657	93400	469931
1658	93455	469866
1659	93509	469800
